Combination of Genres,Average Revenue
Fantasy|Comedy|Romance|Science Fiction,126038645.0
War|History|Action|Drama,125641396.0
Family|Action|Animation|Comedy,125289450.0
Drama|Science Fiction|Mystery,124836171.66666667
Comedy|Drama|Romance|Fantasy,124700000.0
Animation|Comedy|Adventure|Family,124548472.18181819
Adventure|Animation|Drama|Family,124206594.0
Thriller|Drama|Science Fiction,123470982.5
Comedy|Fantasy|Family,123276807.0
Family|Animation|Action|Adventure|Comedy,123081555.0
Horror|Mystery|Comedy,122637878.0
Western|Animation|Adventure|Comedy|Family|Drama,122563539.0
Action|Science Fiction|Horror,121638269.8
Action|Drama|Thriller|History,120654337.0
Drama|Romance|Thriller,120500503.4
Crime|Comedy|Romance,119940815.0
Action|Adventure|Family|Comedy,119723358.0
Action|Drama|War|Romance|Thriller,119520023.0
Drama|Fantasy|Action,119387091.0
Romance|Animation|Drama,119328695.66666667
Action|Adventure|Comedy|Drama|Mystery,119269486.0
Science Fiction|Action|Fantasy,119103561.0
Animation|Family|Adventure,118691080.875
Romance|Fantasy|Animation,118090836.0
Thriller|Action|Romance|Science Fiction|Adventure,118063304.0
Family|Drama|Animation|War|History|Romance,117932401.0
Action|Adventure|History|Romance|Drama,117831631.0
Action|Thriller|Mystery,117724448.5
Thriller|Drama|Horror|Mystery|Science Fiction,117592831.0
Adventure|Drama|Romance|Action,117487473.0
Adventure|Drama|Action|Romance,117416081.33333333
Adventure|Animation|Comedy|Family|Fantasy,117197634.5
Horror|Comedy|Romance,116980662.0
Animation|Adventure|Comedy,116593181.0
Thriller|Action|Comedy|Crime|Drama,116193741.0
Comedy|Action|Adventure,115758184.33333333
Music|Comedy|Action|Crime,115229890.0
Adventure|Drama|Action|Romance|Family,115103979.0
Family|Comedy|Animation,114465749.0
Music|Drama|Romance|Crime,114194847.0
Drama|Adventure|History,113799892.5
Fantasy|Action|Science Fiction|Adventure,113231078.0
Science Fiction|Action|Adventure|Thriller,112939065.875
Comedy|Science Fiction|Fantasy|Horror,112892319.0
Comedy|Family|Action|Fantasy|Adventure|Mystery,112483764.0
Action|Adventure|Crime,112170829.0
Action|Adventure|Comedy,111948621.91666667
Action|Adventure,111535934.95238096
Action|Thriller|Science Fiction,111406124.13043478
Romance|Comedy|Adventure,111231041.0
Family|Fantasy|Comedy|Adventure,111127553.0
Crime|Drama|Mystery|Thriller|Action,110627965.0
Adventure|Animation|Family|Fantasy|Science Fiction,109578115.0
Action|Adventure|Thriller|Crime,108979549.0
Horror|Fantasy,108619030.45454545
Thriller|Science Fiction|Drama|Horror,108286421.0
Western|Adventure|Action,108103450.0
Horror|Drama|Science Fiction,107291710.75
Animation|Action|Adventure|Fantasy,106908502.8
Horror|Drama|Mystery|Thriller,106424794.5
Adventure|Family|Fantasy|Science Fiction|Thriller|Action,106303988.0
Adventure|Fantasy|Action|Comedy|Thriller,105316267.0
Drama|Romance|Science Fiction,105048957.66666667
Thriller|Science Fiction|Mystery,104990337.75
Crime|Drama|Comedy,104982736.25
Family|Comedy|Science Fiction|Adventure|Animation,104945765.0
